node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.09, exploration , D, payoff: 1.2, current q table: [C: 0.00, D: 0.12]
node 5, random: 0.94, exploitation, C, payoff: 1.0, current q table: [C: 0.10, D: 0.00]
node 6, random: 0.35, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.12]


node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.06, exploration , D, payoff: 1.2, current q table: [C: 0.00, D: 0.24]
node 5, random: 0.53, exploitation, C, payoff: 1.0, current q table: [C: 0.20, D: 0.00]
node 6, random: 0.93, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.24]


node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.97, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.35]
node 5, random: 0.23, exploitation, C, payoff: 1.0, current q table: [C: 0.29, D: 0.00]
node 6, random: 0.94, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.35]


node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.44, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.45]
node 5, random: 0.25, exploitation, C, payoff: 1.0, current q table: [C: 0.38, D: 0.00]
node 6, random: 0.11, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.45]


node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.80, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.55]
node 5, random: 0.64, exploitation, C, payoff: 1.0, current q table: [C: 0.46, D: 0.00]
node 6, random: 0.59, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.55]


node 1, random: 0.00, None        , C, payoff: 2.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.33, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.65]
node 5, random: 0.00, exploration , D, payoff: 1.2, current q table: [C: 0.46, D: 0.15]
node 6, random: 0.57, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.65]


node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.20, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.75]
node 5, random: 0.35, exploitation, C, payoff: 1.0, current q table: [C: 0.54, D: 0.15]
node 6, random: 0.39, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.75]


node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.92, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.84]
node 5, random: 0.85, exploitation, C, payoff: 1.0, current q table: [C: 0.62, D: 0.15]
node 6, random: 0.45, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.84]


node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.11, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.92]
node 5, random: 0.75, exploitation, C, payoff: 1.0, current q table: [C: 0.70, D: 0.15]
node 6, random: 0.20, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.92]


node 1, random: 0.00, None        , C, payoff: 3.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.89, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 1.01]
node 5, random: 0.14, exploitation, C, payoff: 1.0, current q table: [C: 0.77, D: 0.15]
node 6, random: 0.65, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 1.01]


