node   0, random: 0.28, exploitation, C, payoff: 5.0, current q table: [C: 0.50, D: 0.00]
node   1, random: 0.74, exploitation, C, payoff: 5.0, current q table: [C: 0.50, D: 0.00]
node   2, random: 0.01, exploration , C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node   3, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node   4, random: 0.31, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 0.60]
node   5, random: 0.49, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.48]
node   6, random: 0.91, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node   7, random: 0.70, exploitation, C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
node   8, random: 0.57, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 0.60]
node   9, random: 0.91, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  10, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node  11, random: 0.26, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  12, random: 0.25, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 0.60]
node  13, random: 0.52, exploitation, C, payoff: 5.0, current q table: [C: 0.50, D: 0.00]
node  14, random: 0.81, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  15, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node  16, random: 0.45, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.48]
node  17, random: 0.00, None        , C, payoff: 6.0, current q table: [C: 0.00, D: 0.00]
node  18, random: 0.18, exploitation, C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node  19, random: 0.66, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  20, random: 0.57, exploitation, C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node  21, random: 0.09, exploration , C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
node  22, random: 0.51, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 0.60]
node  23, random: 0.24, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.48]
node  24, random: 0.48, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.24]
node  25, random: 0.11, exploitation, C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
node  26, random: 0.54, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.24]
node  27, random: 0.05, exploration , C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node  28, random: 0.94, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.24]
node  29, random: 0.68, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  30, random: 0.75, exploitation, C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
node  31, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node  32, random: 0.97, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  33, random: 0.82, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  34, random: 0.70, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.24]
node  35, random: 0.35, exploitation, C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
node  36, random: 0.29, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.12]
node  37, random: 0.80, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.12]
node  38, random: 0.14, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  39, random: 0.65, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  40, random: 0.96, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.12]
node  41, random: 0.52, exploitation, C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
